Timestamp,CPU_Usage_Pct,RAM_Usage_Pct,Bytes_Sent_Delta,Bytes_Received_Delta,Threat_Score
2026-05-21 21:43:52,45.7,65.1,563191,28832,-0.3177
2026-05-21 21:43:57,33.8,65.2,689599,33972,-0.3171
2026-05-21 21:44:02,32.2,63.0,1402206,55552,-0.3357
2026-05-21 21:44:07,24.0,63.4,1415068,65247,-0.3279
2026-05-21 21:44:12,23.7,63.2,739460,41019,-0.3166
2026-05-21 21:44:18,24.7,63.4,2026569,106132,-0.3478
2026-05-21 21:44:22,26.2,64.0,19665,22020,-0.1511
2026-05-21 21:44:40,20.3,63.6,25266,1935376,-0.2937
2026-05-21 21:44:46,27.4,63.2,189714,25973942,-0.3462
2026-05-21 21:44:51,18.4,63.1,183414,24072935,-0.3233
2026-05-21 21:44:56,18.2,63.1,214261,7601987,-0.3321
2026-05-21 21:45:03,16.3,63.0,257109,21495607,-0.3404
2026-05-21 21:45:08,14.3,62.9,153369,19332440,-0.3084
2026-05-21 21:45:15,15.4,62.9,246198,8207149,-0.3353
2026-05-21 21:45:20,14.7,62.9,179029,20467300,-0.3134
2026-05-21 21:45:25,17.0,62.9,134483,20470166,-0.3029
2026-05-21 21:45:30,18.6,63.2,142914,20097969,-0.311
2026-05-21 21:45:36,26.0,64.5,66139,7845875,-0.3204
2026-05-21 21:45:41,29.0,65.4,25592,54515,-0.2336
2026-05-21 21:45:49,24.5,63.1,4137,11577,-0.1339
2026-05-21 21:45:54,28.0,63.4,318441,203934,-0.3521
2026-05-21 21:46:00,27.4,63.4,792664,40156,-0.329
2026-05-21 21:46:04,40.6,63.8,459238,112957,-0.3537
2026-05-21 21:46:09,64.5,64.5,355868,765120,-0.3805
2026-05-21 21:46:14,60.7,66.4,1262477,432611,-0.3694
